Trial	Day	Infected	Vaccinated	VaxProb
14	10	2436	2921	4643	0
14	11	2145	2586	5269	0
14	12	1833	2331	5836	0
14	13	1580	2102	6318	0
14	14	1353	1928	6719	0
14	15	1145	1776	7079	0
14	16	929	1657	7414	0
14	17	797	1534	7669	0
14	18	663	1439	7898	0
14	19	573	1355	8072	0
14	20	482	1294	8224	0
14	21	404	1253	8343	0
14	22	317	1217	8466	0
14	23	251	1188	8561	0
14	24	196	1159	8645	0
14	25	161	1133	8706	0
14	26	139	1114	8747	0
14	27	117	1100	8783	0
14	28	106	1082	8812	0
14	29	87	1072	8841	0
14	30	66	1067	8867	0
14	31	55	1059	8886	0
14	32	52	1048	8900	0
14	33	42	1040	8918	0
14	34	39	1033	8928	0
14	35	39	1028	8933	0
14	36	33	1026	8941	0
14	37	25	1023	8952	0
14	38	18	1022	8960	0
14	39	11	1022	8967	0
14	40	6	1022	8972	0
14	41	5	1021	8974	0
14	42	3	1020	8977	0
14	43	3	1019	8978	0
14	44	4	1018	8978	0
14	45	6	1016	8978	0
14	46	5	1016	8979	0
14	47	4	1016	8980	0
14	48	3	1016	8981	0
14	49	2	1016	8982	0
14	50	0	1016	8984	0
15	0	1200	8800	0	0
15	1	1710	8290	0	0
15	2	2381	7619	0	0
15	3	3073	6927	0	0
15	4	3857	6143	0	0
15	5	3460	5357	1183	0
15	6	3559	4731	1710	0
15	7	3455	4164	2381	0
15	8	3245	3682	3073	0
15	9	2862	3281	3857	0
15	10	2436	2921	4643	0
15	11	2145	2586	5269	0
15	12	1833	2331	5836	0
15	13	1580	2102	6318	0
15	14	1353	1928	6719	0
15	15	1145	1776	7079	0
15	16	929	1657	7414	0
15	17	797	1534	7669	0
15	18	663	1439	7898	0
15	19	573	1355	8072	0
15	20	482	1294	8224	0
15	21	404	1253	8343	0
15	22	317	1217	8466	0
15	23	251	1188	8561	0
15	24	196	1159	8645	0
15	25	161	1133	8706	0
15	26	139	1114	8747	0
15	27	117	1100	8783	0
15	28	106	1082	8812	0
15	29	87	1072	8841	0
15	30	66	1067	8867	0
15	31	55	1059	8886	0
15	32	52	1048	8900	0
15	33	42	1040	8918	0
15	34	39	1033	8928	0
15	35	39	1028	8933	0
15	36	33	1026	8941	0
15	37	25	1023	8952	0
15	38	18	1022	8960	0
15	39	11	1022	8967	0
15	40	6	1022	8972	0
15	41	5	1021	8974	0
15	42	3	1020	8977	0
15	43	3	1019	8978	0
15	44	4	1018	8978	0
15	45	6	1016	8978	0
15	46	5	1016	8979	0
15	47	4	1016	8980	0
15	48	3	1016	8981	0
15	49	2	1016	8982	0
15	50	0	1016	8984	0
16	0	1200	8800	0	0
16	1	1710	8290	0	0
16	2	2381	7619	0	0
16	3	3073	6927	0	0
16	4	3857	6143	0	0
16	5	3460	5357	1183	0
16	6	3559	4731	1710	0
16	7	3455	4164	2381	0
16	8	3245	3682	3073	0
16	9	2862	3281	3857	0
16	10	2436	2921	4643	0
16	11	2145	2586	5269	0
16	12	1833	2331	5836	0
16	13	1580	2102	6318	0
16	14	1353	1928	6719	0
16	15	1145	1776	7079	0
16	16	929	1657	7414	0
16	17	797	1534	7669	0
16	18	663	1439	7898	0
16	19	573	1355	8072	0
16	20	482	1294	8224	0
16	21	404	1253	8343	0
16	22	317	1217	8466	0
16	23	251	1188	8561	0
16	24	196	1159	8645	0
16	25	161	1133	8706	0
16	26	139	1114	8747	0
16	27	117	1100	8783	0
16	28	106	1082	8812	0
16	29	87	1072	8841	0
16	30	66	1067	8867	0
16	31	55	1059	8886	0
16	32	52	1048	8900	0
16	33	42	1040	8918	0
16	34	39	1033	8928	0
16	35	39	1028	8933	0
16	36	33	1026	8941	0
16	37	25	1023	8952	0
16	38	18	1022	8960	0
16	39	11	1022	8967	0
16	40	6	1022	8972	0
16	41	5	1021	8974	0
16	42	3	1020	8977	0
16	43	3	1019	8978	0
16	44	4	1018	8978	0
16	45	6	1016	8978	0
16	46	5	1016	8979	0
16	47	4	1016	8980	0
16	48	3	1016	8981	0
16	49	2	1016	8982	0
16	50	0	1016	8984	0
17	0	1200	8800	0	0
17	1	1710	8290	0	0
17	2	2381	7619	0	0
17	3	3073	6927	0	0
17	4	3857	6143	0	0
17	5	3460	5357	1183	0
17	6	3559	4731	1710	0
17	7	3455	4164	2381	0
17	8	3245	3682	3073	0
17	9	2862	3281	3857	0
17	10	2436	2921	4643	0
17	11	2145	2586	5269	0
17	12	1833	2331	5836	0
17	13	1580	2102	6318	0
17	14	1353	1928	6719	0
17	15	1145	1776	7079	0
17	16	929	1657	7414	0
17	17	797	1534	7669	0
17	18	663	1439	7898	0
17	19	573	1355	8072	0
17	20	482	1294	8224	0
17	21	404	1253	8343	0
17	22	317	1217	8466	0
17	23	251	1188	8561	0
17	24	196	1159	8645	0
17	25	161	1133	8706	0
17	26	139	1114	8747	0
17	27	117	1100	8783	0
17	28	106	1082	8812	0
17	29	87	1072	8841	0
17	30	66	1067	8867	0
17	31	55	1059	8886	0
17	32	52	1048	8900	0
17	33	42	1040	8918	0
17	34	39	1033	8928	0
17	35	39	1028	8933	0
17	36	33	1026	8941	0
17	37	25	1023	8952	0
17	38	18	1022	8960	0
17	39	11	1022	8967	0
17	40	6	1022	8972	0
17	41	5	1021	8974	0
17	42	3	1020	8977	0
17	43	3	1019	8978	0
17	44	4	1018	8978	0
17	45	6	1016	8978	0
17	46	5	1016	8979	0
17	47	4	1016	8980	0
17	48	3	1016	8981	0
17	49	2	1016	8982	0
17	50	0	1016	8984	0
18	0	1200	8800	0	0
18	1	1710	8290	0	0
18	2	2381	7619	0	0
18	3	3073	6927	0	0
18	4	3857	6143	0	0
18	5	3460	5357	1183	0
18	6	3559	4731	1710	0
18	7	3455	4164	2381	0
18	8	3245	3682	3073	0
18	9	2862	3281	3857	0
18	10	2436	2921	4643	0
18	11	2145	2586	5269	0
18	12	1833	2331	5836	0
18	13	1580	2102	6318	0
18	14	1353	1928	6719	0
18	15	1145	1776	7079	0
18	16	929	1657	7414	0
18	17	797	1534	7669	0
18	18	663	1439	7898	0
18	19	573	1355	8072	0
18	20	482	1294	8224	0
18	21	404	1253	8343	0
18	22	317	1217	8466	0
18	23	251	1188	8561	0
18	24	196	1159	8645	0
18	25	161	1133	8706	0
18	26	139	1114	8747	0
18	27	117	1100	8783	0
18	28	106	1082	8812	0
18	29	87	1072	8841	0
18	30	66	1067	8867	0
18	31	55	1059	8886	0
18	32	52	1048	8900	0
18	33	42	1040	8918	0
18	34	39	1033	8928	0
18	35	39	1028	8933	0
18	36	33	1026	8941	0
18	37	25	1023	8952	0
18	38	18	1022	8960	0
18	39	11	1022	8967	0
18	40	6	1022	8972	0
18	41	5	1021	8974	0
18	42	3	1020	8977	0
18	43	3	1019	8978	0
18	44	4	1018	8978	0
18	45	6	1016	8978	0
18	46	5	1016	8979	0
18	47	4	1016	8980	0
18	48	3	1016	8981	0
18	49	2	1016	8982	0
18	50	0	1016	8984	0
19	0	1200	8800	0	0
19	1	1811	8189	0	0
19	2	2511	7489	0	0
19	3	3212	6788	0	0
19	4	3922	6078	0	0
19	5	3437	5390	1173	0
19	6	3434	4755	1811	0
19	7	3270	4219	2511	0
19	8	3033	3755	3212	0
19	9	2717	3361	3922	0
19	10	2395	2995	4610	0
19	11	2069	2686	5245	0
19	12	1806	2413	5781	0
19	13	1567	2188	6245	0
19	14	1334	2027	6639	0
19	15	1099	1896	7005	0
19	16	914	1772	7314	0
19	17	742	1671	7587	0
19	18	611	1577	7812	0
19	19	517	1510	7973	0
19	20	457	1439	8104	0
19	21	389	1383	8228	0
19	22	336	1335	8329	0
19	23	287	1290	8423	0
19	24	256	1254	8490	0
19	25	223	1216	8561	0
19	26	195	1188	8617	0
19	27	166	1169	8665	0
19	28	144	1146	8710	0
19	29	126	1128	8746	0
19	30	108	1108	8784	0
19	31	94	1094	8812	0
19	32	92	1077	8831	0
19	33	84	1062	8854	0
19	34	76	1052	8872	0
19	35	59	1049	8892	0
19	36	49	1045	8906	0
19	37	36	1041	8923	0
19	38	24	1038	8938	0
19	39	21	1031	8948	0
19	40	18	1031	8951	0
19	41	14	1031	8955	0
19	42	11	1030	8959	0
19	43	8	1030	8962	0
19	44	2	1029	8969	0
19	45	2	1029	8969	0
19	46	2	1029	8969	0
19	47	1	1029	8970	0
19	48	1	1029	8970	0
19	49	0	1029	8971	0
20	0	1200	8800	0	0
20	1	1811	8189	0	0
20	2	2511	7489	0	0
20	3	3212	6788	0	0
20	4	3922	6078	0	0
20	5	3437	5390	1173	0
20	6	3434	4755	1811	0
20	7	3270	4219	2511	0
20	8	3033	3755	3212	0
20	9	2717	3361	3922	0
20	10	2395	2995	4610	0
20	11	2069	2686	5245	0
20	12	1806	2413	5781	0
20	13	1567	2188	6245	0
20	14	1334	2027	6639	0
20	15	1099	1896	7005	0
20	16	914	1772	7314	0
20	17	742	1671	7587	0
20	18	611	1577	7812	0
20	19	517	1510	7973	0
20	20	457	1439	8104	0
20	21	389	1383	8228	0
20	22	336	1335	8329	0
20	23	287	1290	8423	0
20	24	256	1254	8490	0
20	25	223	1216	8561	0
20	26	195	1188	8617	0
20	27	166	1169	8665	0
20	28	144	1146	8710	0
20	29	126	1128	8746	0
20	30	108	1108	8784	0
20	31	94	1094	8812	0
20	32	92	1077	8831	0
20	33	84	1062	8854	0
20	34	76	1052	8872	0
20	35	59	1049	8892	0
20	36	49	1045	8906	0
20	37	36	1041	8923	0
20	38	24	1038	8938	0
20	39	21	1031	8948	0
20	40	18	1031	8951	0
20	41	14	1031	8955	0
20	42	11	1030	8959	0
20	43	8	1030	8962	0
20	44	2	1029	8969	0
20	45	2	1029	8969	0
20	46	2	1029	8969	0
20	47	1	1029	8970	0
20	48	1	1029	8970	0
20	49	0	1029	8971	0
1	0	1200	8800	0	0
1	1	1811	8189	0	1473
1	2	2425	7575	0	2617
1	3	2877	7123	0	3468
1	4	3246	6754	0	4062
1	5	2328	6499	1173	4465
1	6	1836	6353	1811	4792
1	7	1335	6240	2425	5036
1	8	945	6178	2877	5232
1	9	598	6156	3246	5367
1	10	362	6137	3501	5471
1	11	225	6128	3647	5548
1	12	116	6124	3760	5623
1	13	57	6121	3822	5671
1	14	35	6121	3844	5728
1	15	16	6121	3863	5763
1	16	7	6121	3872	5785
1	17	3	6121	3876	5808
1	18	0	6121	3879	5831
2	0	1200	8800	0	0
2	1	1811	8189	0	1473
2	2	2425	7575	0	2617
2	3	2877	7123	0	3468
2	4	3246	6754	0	4062
2	5	2328	6499	1173	4465
2	6	1836	6353	1811	4792
2	7	1335	6240	2425	5036
2	8	945	6178	2877	5232
2	9	598	6156	3246	5367
2	10	362	6137	3501	5471
2	11	225	6128	3647	5548
2	12	116	6124	3760	5623
2	13	57	6121	3822	5671
2	14	35	6121	3844	5728
2	15	16	6121	3863	5763
2	16	7	6121	3872	5785
2	17	3	6121	3876	5808
